,Descubrir,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
284,Descubrir,c,normal,640,409600,27231674.0
285,Descubrir,c,normal,640,409600,22293874.0
286,Descubrir,c,normal,640,409600,22567104.0
287,Descubrir,c,normal,640,409600,22485808.0
288,Descubrir,c,normal,640,409600,22161332.0
289,Descubrir,c,normal,640,409600,22111992.0
290,Descubrir,c,normal,640,409600,21834314.0
291,Descubrir,c,normal,640,409600,22325176.0
292,Descubrir,c,normal,640,409600,22208168.0
293,Descubrir,c,normal,640,409600,23013102.0
294,Descubrir,c,normal,640,409600,22429164.0
295,Descubrir,c,normal,640,409600,22390672.0
296,Descubrir,c,normal,640,409600,46649360.0
297,Descubrir,c,normal,640,409600,22401240.0
298,Descubrir,c,normal,640,409600,22382804.0
299,Descubrir,c,normal,640,409600,23331806.0
300,Descubrir,c,normal,704,495616,27808894.0
301,Descubrir,c,normal,704,495616,28472448.0
302,Descubrir,c,normal,704,495616,55346216.0
303,Descubrir,c,normal,704,495616,40817404.0
304,Descubrir,c,normal,704,495616,26620256.0
305,Descubrir,c,normal,704,495616,28299358.0
306,Descubrir,c,normal,704,495616,26999134.0
307,Descubrir,c,normal,704,495616,27389516.0
308,Descubrir,c,normal,704,495616,26773844.0
309,Descubrir,c,normal,704,495616,32128944.0
310,Descubrir,c,normal,704,495616,26725916.0
311,Descubrir,c,normal,704,495616,28003788.0
312,Descubrir,c,normal,704,495616,26542002.0
313,Descubrir,c,normal,704,495616,27681670.0
314,Descubrir,c,normal,704,495616,35936024.0
315,Descubrir,c,normal,704,495616,27285560.0
316,Descubrir,c,normal,704,495616,27015258.0
317,Descubrir,c,normal,704,495616,26707280.0
318,Descubrir,c,normal,704,495616,26616620.0
319,Descubrir,c,normal,704,495616,27178728.0
320,Descubrir,c,normal,704,495616,69352272.0
321,Descubrir,c,normal,704,495616,47653024.0
322,Descubrir,c,normal,704,495616,26791732.0
323,Descubrir,c,normal,704,495616,34720824.0
324,Descubrir,c,normal,704,495616,27890868.0
325,Descubrir,c,normal,704,495616,28108784.0
326,Descubrir,c,normal,704,495616,27394652.0
327,Descubrir,c,normal,704,495616,27398464.0
328,Descubrir,c,normal,704,495616,33305750.0
329,Descubrir,c,normal,704,495616,26656602.0
330,Descubrir,c,normal,768,589824,31937688.0
331,Descubrir,c,normal,768,589824,32301380.0
332,Descubrir,c,normal,768,589824,34238224.0
333,Descubrir,c,normal,768,589824,34334972.0
334,Descubrir,c,normal,768,589824,32182342.0
335,Descubrir,c,normal,768,589824,36528632.0
336,Descubrir,c,normal,768,589824,32452614.0
337,Descubrir,c,normal,768,589824,31842788.0
338,Descubrir,c,normal,768,589824,32725832.0
339,Descubrir,c,normal,768,589824,52496200.0
340,Descubrir,c,normal,768,589824,31665540.0
341,Descubrir,c,normal,768,589824,32842426.0
