,Ocultar,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
363,Ocultar,c,normal,832,692224,46124388.0
364,Ocultar,c,normal,832,692224,46153008.0
365,Ocultar,c,normal,832,692224,47793796.0
366,Ocultar,c,normal,832,692224,56613376.0
367,Ocultar,c,normal,832,692224,121880480.0
368,Ocultar,c,normal,832,692224,47326196.0
369,Ocultar,c,normal,832,692224,45530556.0
370,Ocultar,c,normal,832,692224,46130848.0
371,Ocultar,c,normal,832,692224,99347304.0
372,Ocultar,c,normal,832,692224,49061348.0
373,Ocultar,c,normal,832,692224,46421624.0
374,Ocultar,c,normal,832,692224,46293140.0
375,Ocultar,c,normal,832,692224,45854420.0
376,Ocultar,c,normal,832,692224,101902664.0
377,Ocultar,c,normal,832,692224,46271200.0
378,Ocultar,c,normal,832,692224,45867928.0
379,Ocultar,c,normal,832,692224,66439656.0
380,Ocultar,c,normal,832,692224,45403944.0
381,Ocultar,c,normal,832,692224,62909816.0
382,Ocultar,c,normal,832,692224,45184388.0
383,Ocultar,c,normal,832,692224,63036260.0
384,Ocultar,c,normal,832,692224,61488148.0
385,Ocultar,c,normal,832,692224,45264324.0
386,Ocultar,c,normal,832,692224,91329064.0
387,Ocultar,c,normal,832,692224,48432980.0
388,Ocultar,c,normal,832,692224,92382752.0
389,Ocultar,c,normal,832,692224,46305580.0
390,Ocultar,c,normal,896,802816,69996296.0
391,Ocultar,c,normal,896,802816,54324952.0
392,Ocultar,c,normal,896,802816,52008464.0
393,Ocultar,c,normal,896,802816,58824424.0
394,Ocultar,c,normal,896,802816,53151468.0
395,Ocultar,c,normal,896,802816,108877728.0
396,Ocultar,c,normal,896,802816,53913032.0
397,Ocultar,c,normal,896,802816,53134580.0
398,Ocultar,c,normal,896,802816,53739148.0
399,Ocultar,c,normal,896,802816,56702616.0
400,Ocultar,c,normal,896,802816,70864872.0
401,Ocultar,c,normal,896,802816,121882736.0
402,Ocultar,c,normal,896,802816,104925040.0
403,Ocultar,c,normal,896,802816,114406544.0
404,Ocultar,c,normal,896,802816,51887480.0
405,Ocultar,c,normal,896,802816,66364980.0
406,Ocultar,c,normal,896,802816,63369460.0
407,Ocultar,c,normal,896,802816,92147064.0
408,Ocultar,c,normal,896,802816,62761872.0
409,Ocultar,c,normal,896,802816,71392584.0
410,Ocultar,c,normal,896,802816,62973132.0
411,Ocultar,c,normal,896,802816,125511944.0
412,Ocultar,c,normal,896,802816,115649352.0
413,Ocultar,c,normal,896,802816,53541896.0
414,Ocultar,c,normal,896,802816,83564784.0
415,Ocultar,c,normal,896,802816,60951936.0
416,Ocultar,c,normal,896,802816,101762160.0
417,Ocultar,c,normal,896,802816,92901800.0
418,Ocultar,c,normal,896,802816,138203616.0
419,Ocultar,c,normal,896,802816,63513632.0
420,Ocultar,c,normal,960,921600,81103192.0
421,Ocultar,c,normal,960,921600,68876336.0
422,Ocultar,c,normal,960,921600,61941940.0
423,Ocultar,c,normal,960,921600,76636160.0
424,Ocultar,c,normal,960,921600,140341472.0
425,Ocultar,c,normal,960,921600,75248496.0
426,Ocultar,c,normal,960,921600,72155104.0
427,Ocultar,c,normal,960,921600,87763640.0
428,Ocultar,c,normal,960,921600,99086400.0
429,Ocultar,c,normal,960,921600,166340688.0
430,Ocultar,c,normal,960,921600,145352224.0
431,Ocultar,c,normal,960,921600,63522552.0
432,Ocultar,c,normal,960,921600,60751272.0
433,Ocultar,c,normal,960,921600,62194864.0
434,Ocultar,c,normal,960,921600,62107612.0
435,Ocultar,c,normal,960,921600,74500096.0
436,Ocultar,c,normal,960,921600,133346928.0
437,Ocultar,c,normal,960,921600,154555072.0
438,Ocultar,c,normal,960,921600,63287216.0
439,Ocultar,c,normal,960,921600,72967112.0
440,Ocultar,c,normal,960,921600,126041528.0
441,Ocultar,c,normal,960,921600,75445480.0
442,Ocultar,c,normal,960,921600,153253072.0
443,Ocultar,c,normal,960,921600,63301224.0
444,Ocultar,c,normal,960,921600,128885888.0
445,Ocultar,c,normal,960,921600,68043056.0
446,Ocultar,c,normal,960,921600,107854720.0
447,Ocultar,c,normal,960,921600,75164552.0
448,Ocultar,c,normal,960,921600,100419336.0
449,Ocultar,c,normal,960,921600,62741700.0
450,Ocultar,c,normal,1024,1048576,116129256.0
451,Ocultar,c,normal,1024,1048576,142782848.0
452,Ocultar,c,normal,1024,1048576,71192720.0
453,Ocultar,c,normal,1024,1048576,68744920.0
454,Ocultar,c,normal,1024,1048576,111608056.0
455,Ocultar,c,normal,1024,1048576,84120928.0
456,Ocultar,c,normal,1024,1048576,77621528.0
457,Ocultar,c,normal,1024,1048576,103469048.0
458,Ocultar,c,normal,1024,1048576,138989776.0
459,Ocultar,c,normal,1024,1048576,69602848.0
460,Ocultar,c,normal,1024,1048576,109225824.0
461,Ocultar,c,normal,1024,1048576,71156032.0
462,Ocultar,c,normal,1024,1048576,109024736.0
463,Ocultar,c,normal,1024,1048576,104167440.0
464,Ocultar,c,normal,1024,1048576,82795424.0
465,Ocultar,c,normal,1024,1048576,141276224.0
466,Ocultar,c,normal,1024,1048576,71998720.0
467,Ocultar,c,normal,1024,1048576,68303744.0
468,Ocultar,c,normal,1024,1048576,107734416.0
469,Ocultar,c,normal,1024,1048576,70017984.0
470,Ocultar,c,normal,1024,1048576,109813656.0
471,Ocultar,c,normal,1024,1048576,76902184.0
472,Ocultar,c,normal,1024,1048576,98525760.0
473,Ocultar,c,normal,1024,1048576,104454192.0
474,Ocultar,c,normal,1024,1048576,70945952.0
475,Ocultar,c,normal,1024,1048576,99351976.0
476,Ocultar,c,normal,1024,1048576,112435704.0
477,Ocultar,c,normal,1024,1048576,73817488.0
478,Ocultar,c,normal,1024,1048576,109986464.0
479,Ocultar,c,normal,1024,1048576,178643520.0
480,Ocultar,c,normal-01,64,4096,61406.0
481,Ocultar,c,normal-01,64,4096,61493.0
482,Ocultar,c,normal-01,64,4096,66739.0
483,Ocultar,c,normal-01,64,4096,64609.0
484,Ocultar,c,normal-01,64,4096,64475.0
485,Ocultar,c,normal-01,64,4096,61365.0
486,Ocultar,c,normal-01,64,4096,61276.0
487,Ocultar,c,normal-01,64,4096,61329.0
488,Ocultar,c,normal-01,64,4096,61257.0
489,Ocultar,c,normal-01,64,4096,109140.0
490,Ocultar,c,normal-01,64,4096,64341.0
491,Ocultar,c,normal-01,64,4096,61469.0
